Fecha;Despachados;Picados
23/11/2020;144443;169127
14/09/2021;175194;169368
28/06/2021;154492;169457
5/09/2022;153205;169511
19/03/2022;182653;169578
31/05/2021;177442;169587
20/10/2021;164227;169729
9/05/2020;134630;169731
13/04/2022;198648;169733
20/03/2023;174341;169996
11/02/2023;166575;170043
22/08/2023;167264;170314
28/03/2022;160554;170345
11/01/2023;192395;170374
28/08/2021;171666;170387
4/01/2023;163946;170437
23/07/2021;161538;170482
26/08/2023;199827;170567
23/06/2023;172596;170606
19/06/2023;158108;170632
18/11/2020;166015;170701
22/09/2022;150160;170716
2/09/2023;177007;170767
24/02/2023;177765;170812
13/07/2022;160086;170839
27/01/2023;177991;170883
24/02/2022;151537;170891
1/06/2020;140835;170953
16/03/2022;165347;171004
17/05/2023;176209;171120
4/12/2021;193617;171155
3/08/2023;173437;171202
25/11/2022;168588;171214
1/04/2023;181357;171216
24/06/2022;180404;171297
12/01/2022;172990;171321
16/11/2021;162936;171416
23/02/2022;155368;171570
5/10/2022;169490;171579
6/04/2022;153576;171615
4/01/2022;161976;171615
10/02/2022;157754;171626
21/01/2022;168984;171706
11/05/2020;164990;171723
12/04/2022;177960;171737
15/06/2020;154234;171741
18/03/2022;171515;171758
21/10/2021;162730;171769
27/07/2020;164017;171779
8/02/2023;170033;171807
6/10/2022;168562;171826
17/04/2023;176918;171928
26/06/2020;169761;171983
24/08/2021;181456;172014
28/02/2023;183662;172099
24/07/2023;183132;172263
21/04/2022;163204;172267
14/02/2023;195063;172275
17/08/2023;182980;172281
25/04/2023;177359;172336
26/04/2022;166115;172374
12/01/2023;167170;172386
4/09/2021;170067;172408
12/07/2022;148471;172431
22/03/2021;136740;172435
17/11/2021;190721;172571
9/02/2022;176507;172597
8/08/2022;149683;172602
29/01/2021;193343;172628
23/05/2022;161154;172644
28/10/2021;187099;172763
3/11/2021;209549;172794
14/09/2022;171001;172913
22/04/2020;147755;172946
2/06/2022;171483;172954
3/08/2022;174156;173033
24/09/2022;155728;173062
30/06/2023;173470;173065
13/09/2022;165578;173068
18/10/2022;156226;173092
12/10/2021;146439;173169
12/08/2023;183540;173254
10/04/2023;175629;173263
20/10/2022;161165;173412
21/05/2021;173612;173652
31/05/2022;167333;173683
29/08/2023;185125;173825
7/09/2021;187040;173843
2/09/2021;185759;173845
30/07/2020;166484;173863
27/06/2023;176600;173899
24/03/2022;172244;173930
4/07/2023;171283;173936
29/06/2022;183477;174009
17/08/2021;171039;174070
15/11/2021;211654;174087
1/09/2022;178706;174110
1/09/2023;154022;174131
24/06/2023;185389;174210
5/05/2023;187726;174230
1/06/2021;171028;174258
7/01/2023;171133;174259
2/11/2021;161944;174422
13/06/2020;177128;174583
25/06/2022;191621;174649
4/05/2022;167365;174665
13/06/2023;173186;174683
16/06/2022;163974;174740
5/07/2023;155311;174754
7/12/2020;171464;174781
27/01/2021;183456;174915
18/07/2022;153658;175081
28/04/2023;180818;175105
3/09/2021;168173;175142
30/06/2020;184707;175265
1/07/2020;182311;175360
29/08/2022;180911;175429
16/08/2021;146723;175643
18/01/2022;163240;175663
28/10/2022;164458;175671
6/08/2021;161535;175723
10/06/2021;186727;175811
17/05/2022;171308;175890
11/08/2021;177010;176018
5/08/2021;173118;176052
25/10/2022;150114;176058
4/08/2023;160408;176225
13/09/2021;156619;176316
26/09/2022;172065;176346
29/05/2021;181150;176422
7/05/2020;173345;176426
9/08/2023;172212;176461
30/09/2021;186721;176467
14/06/2022;161269;176543
25/04/2022;185364;176571
22/07/2023;175117;176575
16/05/2022;181550;176629
6/05/2021;186304;176692
28/05/2022;189519;176714
20/06/2022;176914;176767
11/05/2021;156194;176821
16/08/2023;160492;176822
13/01/2022;178889;176841
22/06/2021;146394;176915
4/05/2020;172736;176935
5/11/2022;194816;176993
3/02/2021;202404;177056
17/03/2023;196459;177076
31/08/2023;175995;177148
16/03/2023;182469;177334
20/01/2022;179959;177699
1/02/2022;166536;177775
24/04/2023;168977;177827
22/08/2022;138068;177845
18/11/2021;181655;177916
27/11/2021;182834;177924
8/03/2023;160917;177938
6/05/2022;191152;177951
16/02/2022;159483;178026
3/08/2021;169931;178167
28/07/2023;216504;178167
30/01/2021;204869;178176
3/10/2022;158734;178225
9/01/2023;152898;178256
9/05/2022;182607;178354
6/03/2023;148211;178356
20/08/2021;172415;178651
2/07/2020;187961;178657
10/05/2022;169531;178705
29/09/2021;178573;178724
7/02/2022;139156;178741
27/07/2022;204214;178742
13/04/2023;183159;178856
23/09/2021;155726;178924
4/11/2022;181674;179009
8/06/2022;182089;179075
13/02/2023;171054;179083
19/01/2021;138242;179135
19/11/2021;171863;179136
22/07/2021;197144;179151
7/02/2023;173544;179333
11/11/2020;155696;179528
12/06/2023;173135;179530
16/01/2023;147741;179675
8/04/2023;177661;179684
10/01/2023;205590;180001
10/05/2023;181839;180112
23/02/2023;168013;180132
26/08/2021;183479;180150
31/05/2023;175541;180196
20/07/2022;169477;180270
6/02/2023;153708;180340
24/11/2022;141625;180350
18/07/2023;156766;180370
4/07/2022;164193;180388
4/08/2021;186619;180483
19/01/2022;177676;180573
23/11/2021;176748;180649
27/02/2023;164728;180659
8/08/2023;162664;180675
31/08/2022;170736;180685
23/06/2020;164616;180775
8/05/2023;159109;180848
27/09/2021;161938;180957
5/05/2022;167520;181041
1/09/2021;198881;181097
11/05/2022;181766;181168
17/01/2023;176401;181186
31/01/2022;150598;181229
30/03/2022;142467;181360
20/01/2023;155793;181672
28/09/2022;170860;181698
27/10/2022;174567;181714
2/11/2022;190010;181893
19/07/2023;171114;182012
19/09/2022;144749;182193
14/12/2020;199165;182197
23/08/2021;165033;182256
16/06/2021;151766;182328
6/07/2021;160963;182372
12/11/2020;165041;182441
15/02/2023;172917;182457
25/07/2023;164979;182480
21/06/2022;159712;182487
31/07/2021;200845;182600
5/01/2023;174337;182603
24/07/2021;178349;182633
15/06/2022;190764;182661
28/08/2023;163484;182715
21/03/2023;172887;182738
28/11/2022;221766;182772
12/04/2023;195595;182853
21/11/2022;187902;183365
25/03/2022;176953;183402
27/06/2022;151555;183535
2/08/2023;177017;183623
7/01/2022;164299;183633
19/11/2020;169795;183668
26/05/2021;175296;183752
14/07/2021;182894;183856
7/10/2022;186017;183878
8/11/2021;157464;184087
4/04/2023;189290;184146
19/05/2022;192351;184291
26/10/2022;161385;184327
10/02/2023;181029;184351
12/06/2020;172407;184560
30/12/2021;229806;184735
25/08/2023;179835;184821
22/03/2022;176665;184823
19/01/2023;149143;184855
6/06/2022;158999;184911
6/05/2020;154151;185126
19/12/2020;202502;185156
10/08/2023;203802;185157
10/03/2022;161014;185161
29/12/2020;239108;185228
29/11/2022;192603;185478
9/06/2022;180131;185524
8/06/2021;169728;185583
29/11/2021;185926;185622
28/09/2021;177757;185645
17/03/2022;171521;185646
20/05/2021;182093;185657
27/03/2023;187191;185671
9/02/2023;193746;185724
11/05/2023;182386;185787
5/02/2021;207550;185792
21/02/2023;202337;185794
1/07/2021;171231;185822
20/07/2021;172626;186030
6/09/2021;179602;186227
13/10/2021;164529;186239
13/10/2022;185823;186245
30/03/2023;181357;186397
5/05/2021;204273;186457
30/05/2022;167546;186632
4/05/2023;184733;186655
9/07/2021;164178;186766
4/11/2021;170569;186992
17/06/2022;190688;187227
5/11/2021;194835;187362
23/09/2022;161757;187397
27/01/2022;180368;187428
13/01/2023;156444;187429
22/03/2023;181637;187506
23/12/2022;216946;187525
8/09/2022;173210;187590
9/05/2023;181657;187659
28/03/2023;158781;187728
11/07/2023;166460;187803
10/10/2022;151691;187898
9/03/2023;184387;188038
15/12/2020;199647;188064
29/04/2022;165927;188103
24/06/2020;172575;188122
22/11/2022;165827;188567
23/08/2023;180174;188608
11/07/2022;149990;188624
18/05/2022;175166;188644
22/04/2022;184604;188716
23/11/2022;176283;188873
11/11/2021;190708;188991
21/07/2023;191874;189093
2/05/2023;163476;189265
26/08/2022;168742;189510
18/02/2023;202167;189612
8/04/2022;187337;189687
23/03/2022;176160;189754
15/11/2022;176592;189833
29/04/2020;161155;189848
19/07/2021;158916;190034
28/05/2021;174940;190160
14/04/2023;179754;190282
16/11/2022;174286;190290
12/05/2022;190285;190410
18/11/2022;176142;190432
13/11/2021;178483;190545
15/07/2023;203707;190643
21/11/2020;191737;190694
18/12/2020;191353;190772
18/08/2023;190168;190773
7/06/2022;181593;191163
10/12/2022;174881;191205
3/11/2022;185092;191434
10/03/2023;159118;191482
15/03/2023;154018;191511
13/03/2023;154712;191511
3/04/2023;182972;191559
10/09/2021;170972;191725
2/06/2021;184175;191772
21/10/2022;183739;191877
22/11/2021;174959;191890
21/12/2020;176743;192161
29/04/2023;199157;192385
9/11/2021;186158;192450
27/08/2021;198000;192646
30/06/2022;137607;192684
30/06/2021;155588;192692
27/04/2020;169099;192733
31/01/2023;198880;192764
11/04/2023;202018;192869
12/07/2023;170144;192884
20/02/2023;185914;192907
4/05/2021;155805;192962
14/11/2022;187118;192970
25/06/2020;190067;193553
27/10/2021;181015;193684
26/01/2022;198536;193744
28/12/2020;197528;193848
25/01/2022;180763;193853
17/12/2020;171721;194026
15/08/2023;178861;194084
12/05/2023;187162;194132
25/08/2021;187043;194188
26/10/2021;172182;194609
28/06/2022;176857;194730
2/02/2022;187908;194777
2/12/2022;194852;194872
25/10/2021;148171;195177
21/07/2021;179151;195236
23/12/2020;198641;195416
19/04/2023;189718;195853
27/06/2020;175492;196211
9/06/2021;185566;196722
10/06/2022;187273;196785
4/02/2021;178862;196804
25/07/2022;169377;196805
30/12/2022;192293;196861
11/12/2020;186820;197015
30/07/2021;179877;197465
17/11/2022;171809;197971
13/07/2021;171732;198267
26/03/2022;162831;198839
31/08/2021;167542;198861
14/12/2021;199870;198893
13/12/2021;273371;199046
23/12/2021;220590;199369
8/11/2022;209449;200155
27/07/2023;190233;200544
6/12/2021;218504;200850
29/03/2023;203331;200988
26/12/2022;195567;201147
21/04/2023;179077;201216
12/10/2022;176921;201399
14/07/2023;186846;201688
30/11/2021;190003;202408
27/09/2022;185548;202507
20/12/2021;203329;202665
12/11/2021;200437;203047
11/11/2022;190919;203068
26/11/2022;187173;203237
13/05/2022;179114;203343
3/05/2023;186220;203695
7/11/2022;188478;204694
24/11/2021;193862;205095
25/11/2021;192509;205445
30/11/2022;187691;205538
1/12/2022;221037;205565
9/12/2020;183513;205674
10/11/2021;192476;206244
5/04/2023;190923;206302
17/12/2021;234945;206410
26/11/2021;197959;206818
26/07/2023;201446;207116
2/02/2021;182043;207197
10/11/2022;214927;208523
3/12/2021;207118;208721
31/03/2023;175530;208829
5/12/2022;210391;208940
27/07/2021;197630;209091
23/06/2022;183780;209100
17/02/2023;204130;209376
10/12/2020;194061;209880
23/01/2023;175388;210296
22/12/2021;243551;210400
26/07/2021;189953;210876
1/12/2021;201043;211084
11/04/2022;179979;212365
28/12/2022;192395;212605
26/04/2023;181680;213213
9/12/2022;188181;213725
29/12/2022;207989;214680
30/01/2023;184423;214758
16/12/2021;226957;215190
20/07/2023;178789;215274
3/12/2022;216507;215298
7/12/2021;239611;216069
8/12/2022;213841;216377
1/02/2021;170676;217379
28/12/2021;219755;217709
2/12/2021;196522;217930
8/09/2021;184735;218275
17/12/2022;213841;218977
28/01/2021;207273;221208
16/12/2022;211328;222763
13/12/2022;206774;222841
19/12/2022;220629;223151
27/12/2021;203401;224846
9/11/2022;202062;225154
14/12/2022;195508;227678
10/12/2021;229505;228667
29/09/2022;177529;229069
26/12/2020;212856;229293
21/12/2021;206713;230051
15/12/2021;223822;230971
23/04/2022;195680;234464
15/12/2022;235219;235059
12/12/2020;242208;236382
29/12/2021;220266;236649
9/12/2021;199020;237643
27/12/2022;220823;237946
6/12/2022;232232;242387
12/12/2022;202589;244580
19/11/2022;212537;244731
7/12/2022;234779;245092
18/12/2021;269336;248206
12/11/2022;223066;252411
20/12/2022;234830;252991
21/12/2022;271603;275586
22/12/2022;235237;283603
11/12/2021;217873;291273
31/07/2023;330488;430414
